codigo,nombre,tipo,titularidad,municipio,provincia,comunidad,direccion,codigo_postal,telefono,email,web,latitud,longitud,curso_academico,enseñanzas,especialidad,familia_fp,situacion,fuente
4011031,Centro autorizado de Enseñanzas Deportivas,Privado,Privado,Almería,Almería,Andalucía,"Otros Playa de las Almadrabillas, 10. Centro de Actividades Náuticas",4007.0,645076848.0,leongranda@gmail.com,,36.832327,-2.461130000000025,2021-22,,,,ALTA,da_centros-21-22
4011053,Escuela Infantil,Público,Público,Fiñana,Almería,Andalucía,"C/ Pedro Tena, 1",4500.0,663891779.0,gemaph@hotmail.com,,37.1690575021309,-2.83863383041774,2021-22,inf_publica,,,ALTA,da_centros-21-22
4011065,Escuela autorizada de Música,Privado,Privado,Almería,Almería,Andalucía,"Rbla. Obispo Orberá, 23",4001.0,950250781.0,deo.gomez@emmaalmeria.es,,37.47242,-4.42523,2021-22,musica_danza,,,ALTA,da_centros-21-22
4011077,Centro de Educación Infantil,Privado,Privado,Almería,Almería,Andalucía,"C/ Estrella Errante, s/n",4006.0,607972374.0,escuelainfantillapipa@gmail.com,,36.8567353,-2.439373100000012,2021-22,,,,ALTA,da_centros-21-22
4011089,Centro Docente Privado,Privado,Privado,Macael,Almería,Andalucía,"Ctra. de Macael a Tabernas km, 38, Paraje El Pozo",4867.0,610314654.0,escueladehostelerialascanteras@gmail.com,,37.3320032,-2.3033620999999584,2021-22,,,,ALTA,da_centros-21-22
4010656,Centro de Educación Infantil,Privado,Privado,Almería,Almería,Andalucía,"Avda. Cabo de Gata, s/n",4004.0,648005249.0,direccion@escuelainfantilalmadrabillas.es,,36.83221762544194,-2.458621799197317,2021-22,,,,ALTA,da_centros-21-22
4010668,Centro de Educación Infantil,Privado,Privado,Roquetas de Mar,Almería,Andalucía,"C/ Sierra de Alcaraz, 6",4721.0,950347950.0,mjose@eilunares.com,,36.8047983,-2.601089499999944,2021-22,,,,ALTA,da_centros-21-22
4010671,Centro de Educación Infantil,Privado,Privado,Almería,Almería,Andalucía,"Avda. de Zeus, s/n, local A, planta baja.",4009.0,628427912.0,gestion@ceijardinesdelapipa.com,,36.851727,-2.4355008,2021-22,,,,ALTA,da_centros-21-22
4010681,Centro de Educación Infantil,Privado,Privado,Roquetas de Mar,Almería,Andalucía,"Avda. Pedro Muñoz Seca, 144",4720.0,685693425.0,lara.lop80@hotmail.com,,36.8189226,-2.5819874000000027,2021-22,,,,ALTA,da_centros-21-22
4010693,Centro de Educación Infantil,Privado,Privado,Almería,Almería,Andalucía,"C/ Árbol de la Seda, s/n",4007.0,646128192.0,aventura@aventuraeducacion.es,,36.8367740555791,-2.434976260272,2021-22,,,,ALTA,da_centros-21-22
4010711,Centro de Educación Infantil,Privado,Privado,Almería,Almería,Andalucía,"Ctra. de Sacramento, esquina C/ Berraza",4120.0,678686055.0,eitodoseandara@gmail.com,,36.8394445,-2.4102173,2021-22,,,,ALTA,da_centros-21-22
4010735,Centro Docente Privado,Privado,Privado,Huércal de Almería,Almería,Andalucía,"C/ Nogal, 30",4230.0,656605031.0,formacion@lumaso.com,,36.8713288,-2.448049900000001,2021-22,,,,ALTA,da_centros-21-22
4010747,Centro de Educación Infantil,Privado,Privado,Almería,Almería,Andalucía,"C/ Calzada de Castro, 62, esq. c/ Lope de Rueda",4006.0,650242844.0,04010747.edu@juntadeandalucia.es,,36.8383878,-2.4493176999999378,2021-22,,,,ALTA,da_centros-21-22
4010760,Centro de Educación Infantil,Privado,Privado,El Ejido,Almería,Andalucía,"C/ Raquero, s/n",4711.0,677711884.0,direccion@castillodearena.net,,36.6988652,-2.789997299999982,2021-22,,,,ALTA,da_centros-21-22
4010772,Centro de Educación Infantil,Privado,Privado,Almería,Almería,Andalucía,"C/ Ana María Matute, 4",4006.0,950081842.0,juaniloga77@hotmail.com,,36.83665999999999,-2.450939999999946,2021-22,,,,ALTA,da_centros-21-22
4010784,Escuela Municipal de Música,Público,Público,Níjar,Almería,Andalucía,"C/ Real de las Eras, s/n. Centro de Artes Escénicas de Níjar",,618218382.0,04100,,36.960877080714944,-2.2020086967895622,2021-22,,,,ALTA,da_centros-21-22
4010796,Escuela Infantil,Público,Público,Níjar,Almería,Andalucía,"C/ Ancha del Sotillo, s/n",4118.0,950167711.0,triciclobaby@gmail.com,,36.76741154649704,-2.1075519616140355,2021-22,inf_publica,,,ALTA,da_centros-21-22
