codigo,nombre,municipio,tipo,especialidad,familia_fp
28000364,COMPLUTENSE,Alcalá de Henares,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28000467,ALONSO DE AVELLANEDA,Alcalá de Henares,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28000522,ANTONIO MACHADO,Alcalá de Henares,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28000753,FRANCISCO GINER DE LOS RIOS,Alcobendas,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28001629,DOMENICO SCARLATTI,Aranjuez,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28001678,JORGE MANRIQUE,Tres Cantos,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28001769,EL CARRASCAL,Arganda del Rey,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28002181,JUAN CARLOS I,Ciempozuelos,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28002312,MARQUES DE SANTILLANA,Colmenar Viejo,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28002415,JAIME FERRAN,Collado Villalba,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28002580,MIGUEL CATALÁN,Coslada,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28003201,MATEMATICO PUIG ADAM,Getafe,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28003304,ALARNES,Getafe,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28003882,JOSE DE CHURRIGUERA,Leganés,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28003894,LUIS VIVES,Leganés,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28003900,MARIA ZAMBRANO,Leganés,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28004059,CERVANTES,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28013899,EL ESPINILLO,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28015756,VALDEBERNARDO,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28018344,SANTA TERESA DE JESUS,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28018356,SANTAMARCA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28018368,SANTA ENGRACIA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28018381,ORTEGA Y GASSET,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28018423,INSTITUTO POLITECNICO N.1 DEL EJERCITO,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28018435,EMILIO CASTELAR,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28018460,ARCIPRESTE DE HITA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28018472,SAN CRISTOBAL DE LOS ANGELES,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28018484,CARLOS MARIA RODRIGUEZ DE VALCARCEL,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28018903,JOAQUÍN TURINA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28019312,EL LAGO,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28019351,SAN FERNANDO,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28019464,TIRSO DE MOLINA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28019889,LOPE DE VEGA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28019971,BARAJAS,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
