codigo,nombre,tipo,titularidad,municipio,provincia,comunidad,direccion,codigo_postal,telefono,email,web,latitud,longitud,curso_academico,enseñanzas,especialidad,familia_fp,situacion,fuente
28000364,COMPLUTENSE,IES,Público,Alcalá de Henares,Madrid,Comunidad de Madrid,CALLE Valladolid 1,28804.0,918880169,ies.complutense.alcala@educa.madrid.org,http://www.educa.madrid.org/ies.complutense.alcala,40.894699,-3.350091,2024-25,ESO|Bachillerato|CFGM|CFGS,ESO | Bachillerato | Ciclos Formativos,Múltiples familias,ALTA,centros_educativos
28000467,ALONSO DE AVELLANEDA,IES,Público,Alcalá de Henares,Madrid,Comunidad de Madrid,CALLE Vitoria 3,28804.0,918881174,ies.alonsodeavellan.alcala@educa.madrid.org,http://www.educa.madrid.org/ies.alonsodeavellan.alcala,40.900919,-3.34376,2024-25,ESO|Bachillerato|CFGM|CFGS,ESO | Bachillerato | Ciclos Formativos,Múltiples familias,ALTA,centros_educativos
28000522,ANTONIO MACHADO,IES,Público,Alcalá de Henares,Madrid,Comunidad de Madrid,CALLE Alalpardo s/n,28806.0,918892450,ies.machado.alcala@educa.madrid.org,http://www.educa.madrid.org/ies.machado.alcala,40.901797,-3.372033,2024-25,ESO|Bachillerato|CFGM|CFGS,ESO | Bachillerato | Ciclos Formativos,Múltiples familias,ALTA,centros_educativos
28000753,FRANCISCO GINER DE LOS RIOS,IES,Público,Alcobendas,Madrid,Comunidad de Madrid,AVDA de la Transición Española 11,28108.0,916525466,ies.ginerdelosrios.alcobendas@educa.madrid.org,http://www.educa.madrid.org/ies.ginerdelosrios.alcobendas,40.943837,-3.624558,2024-25,ESO|Bachillerato|CFGM|CFGS,ESO | Bachillerato | Ciclos Formativos,Múltiples familias,ALTA,centros_educativos
28001629,DOMENICO SCARLATTI,IES,Público,Aranjuez,Madrid,Comunidad de Madrid,CALLE de Valeras 22,28300.0,918910057,ies.domenicoscarlat.aranjuez@educa.madrid.org,http://www.educa.madrid.org/ies.domenicoscarlat.aranjuez,40.438843,-3.612986,2024-25,ESO|Bachillerato|CFGM|CFGS,ESO | Bachillerato | Ciclos Formativos,Múltiples familias,ALTA,centros_educativos
28001678,JORGE MANRIQUE,IES,Público,Tres Cantos,Madrid,Comunidad de Madrid,CALLE del Mar Adriático 2,28760.0,918040964,ies.jorgemanrique.trescantos@educa.madrid.org,http://www.educa.madrid.org/ies.jorgemanrique.trescantos,41.002131,-3.708699,2024-25,ESO|Bachillerato|CFGM|CFGS,ESO | Bachillerato | Ciclos Formativos,Múltiples familias,ALTA,centros_educativos
28001769,EL CARRASCAL,IES,Público,Arganda del Rey,Madrid,Comunidad de Madrid,AVDA del Instituto s/n,28500.0,918760082,ies.elcarrascal.arganda@educa.madrid.org,http://www.educa.madrid.org/ies.elcarrascal.arganda,40.700078,-3.444132,2024-25,ESO|Bachillerato|CFGM|CFGS,ESO | Bachillerato | Ciclos Formativos,Múltiples familias,ALTA,centros_educativos
28002181,JUAN CARLOS I,IES,Público,Ciempozuelos,Madrid,Comunidad de Madrid,CALLE de San Francisco s/n,28350.0,918930158,ies.juancarlosprimero.ciempozuelos@educa.madrid.org,http://www.educa.madrid.org/ies.juancarlosprimero.ciempozuelos,40.563135,-3.624018,2024-25,ESO|Bachillerato|CFGM|CFGS,ESO | Bachillerato | Ciclos Formativos,Múltiples familias,ALTA,centros_educativos
28002208,SAN JUAN DE DIOS,CPR FPE,Concertado,Ciempozuelos,Madrid,Comunidad de Madrid,AVDA de San Juan de Dios 1,28350.0,918015650,cc.sanjuandedios.ciempozuelos@educa.madrid.org,http://www.ciclosformativossjd.es,40.568766,-3.614253,2024-25,CFGM|CFGS,Técnico Superior en Administración y Finanzas | Técnico en Gestión Administrativa,Administración y Gestión,ALTA,centros_educativos
28002312,MARQUES DE SANTILLANA,IES,Público,Colmenar Viejo,Madrid,Comunidad de Madrid,CALLE de la Isla del Rey 5,28770.0,918452114,ies.marquesdesantil.colmenarviejo@educa.madrid.org,http://www.educa.madrid.org/ies.marquesdesantil.colmenarviejo,41.079906,-3.775653,2024-25,ESO|Bachillerato|CFGM|CFGS,ESO | Bachillerato | Ciclos Formativos,Múltiples familias,ALTA,centros_educativos
